Name,ERA,K/BB,HR/9,WHIP,xFIP,HardHit%_P,abbrev_name
Tony Gonsolin,2.1,3.31,0.77,0.86,3.74,0.344,T.Gonsolin
Drew Rasmussen,2.77,4.07,0.78,1.07,3.42,0.363,D.Rasmussen
Cristian Javier,2.87,3.76,1.16,0.99,3.56,0.337,C.Javier
Justin Steele,3.18,2.52,0.61,1.35,3.48,0.33299999999999996,J.Steele
Edwin Diaz,1.43,5.94,0.48,0.9,1.15,0.374,E.Diaz
Kyle Wright,3.18,3.22,0.99,1.15,3.37,0.405,K.Wright
Carlos Carrasco,3.7,3.86,0.96,1.29,3.35,0.389,C.Carrasco
Sonny Gray,2.83,3.31,0.76,1.1,3.65,0.391,S.Gray
Jacob deGrom,2.32,21.5,0.83,0.61,1.34,0.295,J.deGrom
Jeffrey Springs,2.45,4.48,1.04,1.09,3.34,0.377,J.Springs
Ranger Suarez,3.53,2.23,0.77,1.3,3.78,0.33299999999999996,R.Suarez
Miles Mikolas,3.46,3.83,1.15,1.05,3.86,0.36200000000000004,M.Mikolas
Pablo Lopez,3.99,3.12,1.07,1.22,3.61,0.364,P.Lopez
Taijuan Walker,3.42,2.78,0.82,1.18,4.0,0.406,T.Walker
Michael Wacha,2.61,3.54,0.87,1.03,3.9,0.33399999999999996,M.Wacha
Kyle Freeland,4.43,2.39,1.01,1.38,4.49,0.42,K.Freeland
Emmanuel Clase,1.27,6.5,0.28,0.72,2.31,0.313,E.Clase
Ryan Helsley,1.19,5.18,0.75,0.73,2.51,0.402,R.Helsley
Jon Gray,3.8,3.57,0.97,1.14,3.25,0.377,J.Gray
Devin Williams,1.76,3.44,0.32,0.94,2.31,0.264,D.Williams
Tyler Mahle,4.4,2.93,1.19,1.22,4.04,0.38299999999999995,T.Mahle
Noah Syndergaard,4.18,3.1,0.99,1.28,4.33,0.341,N.Syndergaard
A.J. Minter,2.19,7.0,0.58,0.91,2.63,0.336,A.Minter
Mitch Keller,4.03,2.28,0.82,1.4,3.99,0.376,M.Keller
Frankie Montas,4.05,3.3,1.12,1.25,3.61,0.33799999999999997,F.Montas
Jameson Taillon,4.04,4.55,1.37,1.13,3.83,0.34600000000000003,J.Taillon
Johnny Cueto,3.09,2.84,0.9,1.2,4.43,0.353,J.Cueto
Nick Lodolo,3.81,3.77,1.03,1.27,3.29,0.386,N.Lodolo
John Schreiber,1.97,4.79,0.3,0.88,2.81,0.366,J.Schreiber
JT Brubaker,4.58,2.74,1.08,1.46,3.87,0.408,J.Brubaker
