Name,ERA,K/BB,HR/9,WHIP,xFIP,HardHit%_P,abbrev_name
Chase De Jong,2.4,2.0,1.13,1.07,4.83,0.382,C.De
Steven Okert,2.5,2.54,1.25,1.13,4.04,0.306,S.Okert
Tyler Matzek,3.16,1.6,0.73,1.16,5.21,0.384,T.Matzek
Ryan Tepera,3.96,2.33,1.2,1.09,4.3,0.278,R.Tepera
Dominic Leone,4.01,2.17,1.09,1.6,4.12,0.41100000000000003,D.Leone
Josh Winder,4.17,2.19,1.5,1.26,4.9,0.353,J.Winder
Rowan Wick,4.27,2.21,1.22,1.73,3.77,0.401,R.Wick
Reiver Sanmartin,6.53,1.65,1.24,1.73,4.35,0.374,R.Sanmartin
Corey Knebel,3.43,1.46,0.81,1.37,4.85,0.39,C.Knebel
Trevor Richards,5.4,2.21,1.39,1.51,4.14,0.392,T.Richards
Greg Weissert,6.75,2.5,0.96,1.07,4.65,0.28,G.Weissert
Wily Peralta,2.58,1.33,0.47,1.51,4.79,0.387,W.Peralta
Sam Moll,2.91,2.09,1.04,1.27,4.05,0.353,S.Moll
Jandel Gustave,3.86,2.45,1.29,1.29,4.06,0.425,J.Gustave
Mark Leiter,4.06,2.78,1.45,1.15,3.74,0.33899999999999997,M.Leiter
Darren O'Day,4.15,2.6,1.25,1.34,4.15,0.33299999999999996,D.O'Day
Trevor May,5.23,3.83,1.74,1.4,3.84,0.452,T.May
Matthew Liberatore,5.46,1.79,1.52,1.69,4.94,0.495,M.Liberatore
Cristopher Sanchez,5.59,2.13,1.22,1.35,4.1,0.376,C.Sanchez
Jake Reed,6.14,1.5,1.23,1.43,5.44,0.512,J.Reed
Josh Fleming,6.23,2.08,0.89,1.91,3.77,0.418,J.Fleming
Chris Devenski,7.59,9.0,1.69,1.41,4.21,0.514,C.Devenski
Austin Adams,0.0,0.67,0.0,1.29,5.25,0.5,A.Adams
Matthew Boyd,0.0,0.8,0.0,1.2,5.4,0.273,M.Boyd
Kyle Tyler,0.0,2.0,0.0,0.75,3.6,0.273,K.Tyler
Blake Treinen,1.8,6.0,1.8,0.4,1.9,0.1,B.Treinen
Luke Bard,1.8,1.14,0.0,0.93,5.03,0.33299999999999996,L.Bard
Hirokazu Sawamura,3.73,1.48,0.71,1.42,4.51,0.44799999999999995,H.Sawamura
Touki Toussaint,4.62,1.37,0.71,1.34,4.78,0.373,T.Toussaint
Tyler Cyr,4.7,8.0,2.35,1.17,2.77,0.522,T.Cyr
Adonis Medina,6.08,2.83,0.76,1.52,4.38,0.5539999999999999,A.Medina
Anthony Banda,6.75,2.31,1.35,2.1,4.5,0.322,A.Banda
Ashton Goudeau,7.08,1.6,1.33,1.72,5.06,0.456,A.Goudeau
Lucas Sims,9.45,0.83,0.0,1.65,5.87,0.263,L.Sims
Kyle Muller,10.57,1.14,1.17,1.83,4.92,0.217,K.Muller
Luis Frias,12.34,1.0,0.0,2.14,6.05,0.439,L.Frias
Charlie Culberson,0.0,0.0,0.0,1.0,6.84,0.28600000000000003,C.Culberson
Sandy Leon,0.0,0.0,0.0,0.0,6.83,0.0,S.Leon
Marwin Gonzalez,0.0,0.0,0.0,0.0,3.11,1.0,M.Gonzalez
Jay Jackson,0.0,1.0,0.0,0.75,3.84,0.75,J.Jackson
Ehire Adrianza,0.0,1.0,0.0,1.0,7.08,0.0,E.Adrianza
Darin Ruf,0.0,0.0,0.0,0.5,6.83,0.5710000000000001,D.Ruf
